주차장관리번호,주차장명,주차장구분,주차장유형,소재지우편번호,소재지지번주소,소재지도로명주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,연락처,위도(WGS84좌표),경도(WGS84좌표),데이터기준일자
183-4-00107,대전역 자재창고 주차장,민영,노외,,대전광역시 동구  소제동 291-6,대전광역시 동구 새둑길 143,231,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00108,국제 주차장,민영,노외,,대전광역시 동구 중동 15-3,대전광역시 동구 선화로 196번길,40,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00109,판암 주차장,민영,노외,,대전광역시 동구 판암2동243,대전광역시 동구 동부로43,47,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00110,동양물류센타 주차장,민영,노외,,대전광역시 동구 ?삼성동302-32외 3필지,대전광역시 동구 대전로906번길,50,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00111,롯데슈퍼 주차장,민영,노외,,대전광역시 동구 ?용운동 323-1,대전광역시 동구 동부로 73번길,15,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00112,용운주공 주차장,민영,노외,,대전광역시 동구 용운동 297-2,대전광역시 동구 용운로,20,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00113,노블레스주차장,민영,노외,,"대전광역시 동구 용전동 117-4, 5, 41",대전광역시 동구 계족로 ,53,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00114,파라다이스주차장,민영,노외,,대전광역시 동구 가양1동449-26외7,대전광역시 동구 동서대로 1704번길,504,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00115,노블레스주차장,민영,노외,,대전광역시 동구 용전동 117-15,대전광역시 동구 동서대로 1677,124,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
183-4-00116,홍도동 주차장,민영,노외,,"대전광역시 동구 홍도동 50-43, 50-39",대전광역시 동구 동산초교로,9,,,,,,,,,,,,,,,,,,,,개인,042-251-4904,,,2015-03-01
